feature,year,gender,number_of_jobs,median_income
0-5 years,2021-22,Males,12.094,46068
0-5 years,2017-18,Males,1.422,62892
0-5 years,2018-19,Males,1.517,62658
0-5 years,2019-20,Males,1.387,69750
0-5 years,2020-21,Males,1.412,75989
0-5 years,2021-22,Males,1.251,72468
0-5 years,2017-18,Males,20.88,34671
0-5 years,2018-19,Males,18.572,37171
0-5 years,2019-20,Males,16.265,37908
0-5 years,2020-21,Males,15.889,38032
0-5 years,2021-22,Males,14.824,36238
0-5 years,2017-18,Males,11.129,46621
0-5 years,2018-19,Males,10.0,53000
0-5 years,2019-20,Males,8.861,56247
0-5 years,2020-21,Males,8.381,54182
0-5 years,2021-22,Males,7.401,50759
0-5 years,2017-18,Males,13.772,24784
0-5 years,2018-19,Males,12.393,27832
0-5 years,2019-20,Males,11.199,29134
0-5 years,2020-21,Males,11.146,27689
0-5 years,2021-22,Males,11.125,23696
0-5 years,2017-18,Males,16.286,16705
0-5 years,2018-19,Males,15.231,18718
0-5 years,2019-20,Males,15.192,19831
0-5 years,2020-21,Males,15.258,17078
0-5 years,2021-22,Males,15.17,14847
0-5 years,2017-18,Males,12.512,12605
0-5 years,2018-19,Males,13.228,12088
0-5 years,2019-20,Males,12.305,11702
0-5 years,2020-21,Males,11.978,11745
0-5 years,2021-22,Males,11.818,9947
0-5 years,2017-18,Males,5.117,59645
0-5 years,2018-19,Males,5.102,61940
0-5 years,2019-20,Males,4.693,69374
0-5 years,2020-21,Males,4.399,65137
0-5 years,2021-22,Males,4.837,82795
0-5 years,2017-18,Males,9.011,60764
0-5 years,2018-19,Males,9.394,65585
0-5 years,2019-20,Males,9.082,74997
0-5 years,2020-21,Males,8.96,77271
0-5 years,2021-22,Males,8.466,72816
0-5 years,2017-18,Males,3.578,31665
0-5 years,2018-19,Males,3.211,32789
0-5 years,2019-20,Males,2.767,35181
0-5 years,2020-21,Males,2.552,32770
0-5 years,2021-22,Males,2.458,29856
0-5 years,2017-18,Males,38.404,57484
0-5 years,2018-19,Males,38.705,64606
0-5 years,2019-20,Males,33.993,69403
0-5 years,2020-21,Males,33.192,70037
0-5 years,2021-22,Males,31.641,67231
0-5 years,2017-18,Males,29.669,16707
0-5 years,2018-19,Males,27.177,19389
0-5 years,2019-20,Males,24.103,20330
0-5 years,2020-21,Males,23.464,17931
0-5 years,2021-22,Males,22.351,16771
0-5 years,2017-18,Males,5.52,35584
0-5 years,2018-19,Males,5.335,41578
0-5 years,2019-20,Males,4.772,40805
0-5 years,2020-21,Males,4.902,40877
0-5 years,2021-22,Males,4.846,40294
0-5 years,2017-18,Males,10.537,36320
0-5 years,2018-19,Males,9.698,43352
0-5 years,2019-20,Males,9.69,48346
0-5 years,2020-21,Males,9.565,50979
0-5 years,2021-22,Males,9.112,47855
0-5 years,2017-18,Males,15.764,48617
0-5 years,2018-19,Males,14.997,51842
0-5 years,2019-20,Males,13.572,52694
0-5 years,2020-21,Males,15.928,54739
0-5 years,2021-22,Males,16.503,48042
0-5 years,2017-18,Males,2.619,19635
0-5 years,2018-19,Males,2.497,23553
0-5 years,2019-20,Males,2.327,23926
0-5 years,2020-21,Males,2.412,21798
0-5 years,2021-22,Males,2.342,17338
0-5 years,2017-18,Males,5.821,23564
0-5 years,2018-19,Males,5.613,26112
0-5 years,2019-20,Males,5.397,25762
0-5 years,2020-21,Males,5.509,25661
0-5 years,2021-22,Males,5.01,24788
0-5 years,2017-18,Males,233.094,33246
0-5 years,2018-19,Males,219.485,37903
0-5 years,2019-20,Males,198.976,40023
0-5 years,2020-21,Males,195.965,37597
0-5 years,2021-22,Males,188.193,35170
0-5 years,2017-18,Males,1.012,5533
0-5 years,2018-19,Males,0.935,7531
0-5 years,2019-20,Males,1.082,8408
0-5 years,2020-21,Males,1.223,7454
0-5 years,2021-22,Males,1.015,7531
0-5 years,2017-18,Males,0.259,53538
0-5 years,2018-19,Males,0.223,58045
0-5 years,2019-20,Males,0.191,82557
0-5 years,2020-21,Males,0.183,71875
0-5 years,2021-22,Males,0.235,69258
0-5 years,2017-18,Males,4.038,30139
0-5 years,2018-19,Males,3.955,32862
0-5 years,2019-20,Males,3.687,35194
0-5 years,2020-21,Males,3.821,28962
0-5 years,2021-22,Males,3.712,27636
0-5 years,2017-18,Males,0.259,36883
0-5 years,2018-19,Males,0.289,39374
0-5 years,2019-20,Males,0.269,46194
0-5 years,2020-21,Males,0.262,45204
0-5 years,2021-22,Males,0.24,51051
0-5 years,2017-18,Males,4.614,23390
0-5 years,2018-19,Males,4.492,25081
0-5 years,2019-20,Males,4.225,26184
0-5 years,2020-21,Males,4.111,25295
0-5 years,2021-22,Males,3.779,25768
0-5 years,2017-18,Males,2.705,29697
0-5 years,2018-19,Males,2.604,32326
0-5 years,2019-20,Males,2.435,36329
0-5 years,2020-21,Males,2.369,34565
0-5 years,2021-22,Males,2.074,29839
0-5 years,2017-18,Males,4.71,17313
0-5 years,2018-19,Males,4.507,17706
0-5 years,2019-20,Males,4.437,18077
0-5 years,2020-21,Males,4.377,17558
0-5 years,2021-22,Males,4.647,13772
0-5 years,2017-18,Males,6.191,8295
0-5 years,2018-19,Males,5.959,9013
0-5 years,2019-20,Males,6.003,9318
0-5 years,2020-21,Males,6.069,8058
0-5 years,2021-22,Males,6.388,6091
0-5 years,2017-18,Males,4.139,13083
0-5 years,2018-19,Males,4.285,13629
0-5 years,2019-20,Males,4.284,12783
0-5 years,2020-21,Males,4.396,12998
0-5 years,2021-22,Males,4.478,11018
0-5 years,2017-18,Males,0.811,43580
0-5 years,2018-19,Males,0.884,34187
0-5 years,2019-20,Males,0.785,37985
0-5 years,2020-21,Males,0.749,37592
0-5 years,2021-22,Males,0.763,41061
0-5 years,2017-18,Males,1.782,45131
0-5 years,2018-19,Males,1.94,46225
0-5 years,2019-20,Males,1.912,55968
0-5 years,2020-21,Males,1.876,58013
0-5 years,2021-22,Males,1.818,52293
0-5 years,2017-18,Males,0.98,19552
0-5 years,2018-19,Males,0.948,20002
0-5 years,2019-20,Males,0.829,21748
0-5 years,2020-21,Males,0.788,20498
0-5 years,2021-22,Males,0.671,20204
0-5 years,2017-18,Males,5.404,37740
0-5 years,2018-19,Males,5.698,39803
0-5 years,2019-20,Males,5.075,47484
0-5 years,2020-21,Males,5.151,44592
0-5 years,2021-22,Males,5.127,43807
0-5 years,2017-18,Males,8.435,12865
0-5 years,2018-19,Males,8.127,13712
0-5 years,2019-20,Males,7.638,14629
0-5 years,2020-21,Males,7.979,12477
0-5 years,2021-22,Males,8.186,11426
0-5 years,2017-18,Males,1.348,25600
0-5 years,2018-19,Males,1.298,28418
0-5 years,2019-20,Males,1.232,24611
0-5 years,2020-21,Males,1.303,30546
0-5 years,2021-22,Males,1.319,26893
0-5 years,2017-18,Males,1.906,16820
0-5 years,2018-19,Males,1.864,16581
0-5 years,2019-20,Males,1.827,19815
0-5 years,2020-21,Males,1.726,17804
0-5 years,2021-22,Males,1.659,16953
0-5 years,2017-18,Males,4.808,32160
0-5 years,2018-19,Males,4.585,33457
0-5 years,2019-20,Males,4.507,31579
0-5 years,2020-21,Males,5.366,32374
0-5 years,2021-22,Males,5.768,26740
0-5 years,2017-18,Males,0.705,15038
0-5 years,2018-19,Males,0.693,13973
0-5 years,2019-20,Males,0.628,17277
0-5 years,2020-21,Males,0.6,15439
0-5 years,2021-22,Males,0.588,10260
0-5 years,2017-18,Males,1.598,15776
0-5 years,2018-19,Males,1.681,16956
0-5 years,2019-20,Males,1.761,17289
0-5 years,2020-21,Males,1.855,16325
0-5 years,2021-22,Males,1.627,16357
0-5 years,2017-18,Males,58.693,19390
0-5 years,2018-19,Males,57.12,20602
0-5 years,2019-20,Males,54.35,21386
0-5 years,2020-21,Males,55.249,20067
0-5 years,2021-22,Males,54.901,17712
0-5 years,2017-18,Females,3.435,8771
0-5 years,2018-19,Females,3.148,10399
0-5 years,2019-20,Females,3.238,10379
0-5 years,2020-21,Females,3.567,8689
0-5 years,2021-22,Females,3.149,9754
0-5 years,2017-18,Females,0.855,61330
0-5 years,2018-19,Females,0.737,68887
0-5 years,2019-20,Females,0.703,75527
0-5 years,2020-21,Females,0.781,75457
0-5 years,2021-22,Females,0.932,79914
0-5 years,2017-18,Females,9.62,26104
0-5 years,2018-19,Females,9.758,29161
0-5 years,2019-20,Females,8.852,32133
0-5 years,2020-21,Females,9.35,27695
0-5 years,2021-22,Females,9.952,24812
0-5 years,2017-18,Females,0.823,52084
0-5 years,2018-19,Females,0.887,53092
0-5 years,2019-20,Females,0.758,57965
0-5 years,2020-21,Females,0.824,61632
0-5 years,2021-22,Females,0.818,53923
0-5 years,2017-18,Females,5.366,24553
0-5 years,2018-19,Females,5.362,25219
0-5 years,2019-20,Females,4.831,27600
0-5 years,2020-21,Females,5.126,27391
0-5 years,2021-22,Females,5.225,25804
0-5 years,2017-18,Females,9.418,29222
0-5 years,2018-19,Females,9.257,31521
0-5 years,2019-20,Females,8.32,34577
0-5 years,2020-21,Females,8.208,33564
0-5 years,2021-22,Females,7.784,31074
0-5 years,2017-18,Females,21.212,16604
0-5 years,2018-19,Females,20.69,17297
0-5 years,2019-20,Females,19.01,18256
0-5 years,2020-21,Females,19.903,17321
0-5 years,2021-22,Females,21.839,14016
0-5 years,2017-18,Females,26.37,10398
0-5 years,2018-19,Females,24.933,11227
0-5 years,2019-20,Females,24.643,12325
0-5 years,2020-21,Females,27.158,10208
0-5 years,2021-22,Females,29.351,8051
0-5 years,2017-18,Females,4.126,21676
0-5 years,2018-19,Females,4.373,22374
0-5 years,2019-20,Females,3.978,22001
0-5 years,2020-21,Females,4.316,17046
0-5 years,2021-22,Females,4.954,11351
0-5 years,2017-18,Females,3.84,36145
0-5 years,2018-19,Females,4.153,35175
0-5 years,2019-20,Females,3.822,43750
0-5 years,2020-21,Females,3.694,39374
0-5 years,2021-22,Females,4.209,41494
0-5 years,2017-18,Females,10.035,41398
0-5 years,2018-19,Females,10.41,44711
0-5 years,2019-20,Females,9.972,51428
0-5 years,2020-21,Females,10.342,48689
0-5 years,2021-22,Females,10.729,46876
0-5 years,2017-18,Females,5.062,19998
0-5 years,2018-19,Females,4.638,20002
0-5 years,2019-20,Females,4.063,22669
0-5 years,2020-21,Females,4.19,20723
0-5 years,2021-22,Females,3.998,20486
0-5 years,2017-18,Females,29.905,32677
0-5 years,2018-19,Females,31.698,37276
0-5 years,2019-20,Females,29.059,41624
0-5 years,2020-21,Females,31.058,40000
0-5 years,2021-22,Females,32.625,40325
0-5 years,2017-18,Females,36.122,11524
0-5 years,2018-19,Females,35.995,12792
0-5 years,2019-20,Females,31.849,13921
0-5 years,2020-21,Females,32.375,12443
0-5 years,2021-22,Females,35.825,11963
0-5 years,2017-18,Females,4.516,38666
0-5 years,2018-19,Females,5.122,42019
0-5 years,2019-20,Females,4.344,43298
0-5 years,2020-21,Females,4.725,45516
0-5 years,2021-22,Females,5.256,41775
0-5 years,2017-18,Females,18.982,19458
0-5 years,2018-19,Females,18.03,19314
0-5 years,2019-20,Females,17.753,23997
0-5 years,2020-21,Females,17.184,23844
0-5 years,2021-22,Females,17.133,21259
0-5 years,2017-18,Females,57.588,28300
0-5 years,2018-19,Females,55.616,29702
0-5 years,2019-20,Females,50.307,30318
0-5 years,2020-21,Females,57.405,29725
0-5 years,2021-22,Females,62.101,26734
0-5 years,2017-18,Females,3.582,11773
0-5 years,2018-19,Females,3.823,11618
0-5 years,2019-20,Females,3.672,13133
0-5 years,2020-21,Females,3.986,11713
0-5 years,2021-22,Females,4.143,9165
0-5 years,2017-18,Females,11.16,14146
0-5 years,2018-19,Females,11.325,15002
0-5 years,2019-20,Females,10.889,15951
0-5 years,2020-21,Females,11.441,15655
0-5 years,2021-22,Females,11.512,13925
0-5 years,2017-18,Females,275.518,20000
0-5 years,2018-19,Females,269.621,21535
0-5 years,2019-20,Females,249.087,23687
0-5 years,2020-21,Females,261.219,22001
0-5 years,2021-22,Females,276.165,19875
0-5 years,2017-18,Females,2.459,10561
0-5 years,2018-19,Females,2.225,12215
0-5 years,2019-20,Females,2.227,12119
0-5 years,2020-21,Females,2.507,9598
0-5 years,2021-22,Females,2.362,10827
0-5 years,2017-18,Females,0.627,63750
0-5 years,2018-19,Females,0.539,73329
0-5 years,2019-20,Females,0.513,75571
0-5 years,2020-21,Females,0.596,81833
0-5 years,2021-22,Females,0.737,80900
0-5 years,2017-18,Females,6.413,26680
0-5 years,2018-19,Females,6.386,29213
0-5 years,2019-20,Females,5.758,33561
0-5 years,2020-21,Females,6.228,28152
0-5 years,2021-22,Females,6.779,25165
0-5 years,2017-18,Females,0.536,53451
0-5 years,2018-19,Females,0.593,52987
0-5 years,2019-20,Females,0.525,58859
0-5 years,2020-21,Females,0.57,61710
0-5 years,2021-22,Females,0.577,56352
0-5 years,2017-18,Females,3.701,25639
0-5 years,2018-19,Females,3.664,26334
0-5 years,2019-20,Females,3.356,27752
0-5 years,2020-21,Females,3.602,27432
0-5 years,2021-22,Females,3.779,26026
0-5 years,2017-18,Females,6.36,31156
0-5 years,2018-19,Females,6.147,34199
0-5 years,2019-20,Females,5.437,36693
0-5 years,2020-21,Females,5.476,34935
0-5 years,2021-22,Females,5.412,32019
0-5 years,2017-18,Females,13.629,17887
0-5 years,2018-19,Females,13.237,18858
0-5 years,2019-20,Females,12.054,19901
0-5 years,2020-21,Females,12.939,19089
0-5 years,2021-22,Females,14.657,15535
0-5 years,2017-18,Females,17.225,11649
0-5 years,2018-19,Females,16.325,12982
0-5 years,2019-20,Females,16.398,13600
0-5 years,2020-21,Females,18.729,11396
0-5 years,2021-22,Females,20.337,9277
0-5 years,2017-18,Females,2.816,22415
0-5 years,2018-19,Females,2.934,23143
0-5 years,2019-20,Females,2.602,22843
0-5 years,2020-21,Females,2.849,18273
0-5 years,2021-22,Females,3.387,12682
0-5 years,2017-18,Females,2.579,36914
0-5 years,2018-19,Females,2.756,37617
0-5 years,2019-20,Females,2.536,45503
0-5 years,2020-21,Females,2.527,39109
0-5 years,2021-22,Females,2.964,40911
0-5 years,2017-18,Females,6.708,43479
0-5 years,2018-19,Females,6.812,46485
0-5 years,2019-20,Females,6.365,52960
0-5 years,2020-21,Females,6.71,49604
0-5 years,2021-22,Females,7.17,46974
0-5 years,2017-18,Females,3.493,20195
0-5 years,2018-19,Females,3.242,20708
0-5 years,2019-20,Females,2.823,24000
0-5 years,2020-21,Females,2.94,21854
0-5 years,2021-22,Females,2.883,20802
0-5 years,2017-18,Females,20.447,35190
0-5 years,2018-19,Females,21.39,40069
0-5 years,2019-20,Females,19.513,44257
0-5 years,2020-21,Females,21.182,42299
0-5 years,2021-22,Females,22.87,41919
0-5 years,2017-18,Females,24.102,11856
0-5 years,2018-19,Females,23.722,13266
0-5 years,2019-20,Females,21.167,14112
0-5 years,2020-21,Females,21.765,12661
0-5 years,2021-22,Females,25.023,12310
0-5 years,2017-18,Females,3.066,41349
0-5 years,2018-19,Females,3.491,46274
0-5 years,2019-20,Females,2.887,47905
0-5 years,2020-21,Females,3.218,49362
0-5 years,2021-22,Females,3.687,45863
0-5 years,2017-18,Females,12.784,22301
0-5 years,2018-19,Females,11.758,23724
0-5 years,2019-20,Females,11.612,29179
0-5 years,2020-21,Females,11.581,27901
0-5 years,2021-22,Females,12.078,25178
0-5 years,2017-18,Females,41.315,31549
0-5 years,2018-19,Females,39.571,33029
0-5 years,2019-20,Females,35.424,33716
0-5 years,2020-21,Females,41.114,33077
0-5 years,2021-22,Females,46.612,29272
0-5 years,2017-18,Females,2.437,13008
0-5 years,2018-19,Females,2.606,12995
0-5 years,2019-20,Females,2.516,13893
0-5 years,2020-21,Females,2.895,12115
0-5 years,2021-22,Females,3.086,10059
0-5 years,2017-18,Females,7.837,14475
0-5 years,2018-19,Females,7.938,15144
0-5 years,2019-20,Females,7.586,15741
0-5 years,2020-21,Females,8.226,15242
0-5 years,2021-22,Females,8.54,14401
0-5 years,2017-18,Females,187.618,21503
0-5 years,2018-19,Females,181.774,23399
0-5 years,2019-20,Females,167.397,25437
0-5 years,2020-21,Females,179.446,23457
0-5 years,2021-22,Females,196.207,21198
0-5 years,2017-18,Females,0.978,5466
0-5 years,2018-19,Females,0.922,6859
0-5 years,2019-20,Females,1.014,7294
0-5 years,2020-21,Females,1.061,6777
0-5 years,2021-22,Females,0.789,7227
0-5 years,2017-18,Females,0.227,56745
0-5 years,2018-19,Females,0.197,59474
0-5 years,2019-20,Females,0.191,74589
0-5 years,2020-21,Females,0.189,63299
0-5 years,2021-22,Females,0.195,76080
0-5 years,2017-18,Females,3.21,25103
0-5 years,2018-19,Females,3.37,29017
0-5 years,2019-20,Females,3.096,29682
0-5 years,2020-21,Females,3.12,26681
0-5 years,2021-22,Females,3.178,23757
0-5 years,2017-18,Females,0.289,48085
0-5 years,2018-19,Females,0.291,53284
0-5 years,2019-20,Females,0.238,57777
0-5 years,2020-21,Females,0.254,61328
0-5 years,2021-22,Females,0.241,46868
0-5 years,2017-18,Females,1.664,21885
0-5 years,2018-19,Females,1.692,22701
0-5 years,2019-20,Females,1.479,27354
0-5 years,2020-21,Females,1.52,27372
0-5 years,2021-22,Females,1.447,25273
0-5 years,2017-18,Females,3.059,24457
0-5 years,2018-19,Females,3.11,26959
0-5 years,2019-20,Females,2.882,31141
0-5 years,2020-21,Females,2.73,30255
0-5 years,2021-22,Females,2.373,28925
0-5 years,2017-18,Females,7.58,14540
0-5 years,2018-19,Females,7.452,14763
0-5 years,2019-20,Females,6.952,15751
0-5 years,2020-21,Females,6.97,14246
0-5 years,2021-22,Females,7.183,11383
0-5 years,2017-18,Females,9.143,8246
0-5 years,2018-19,Females,8.609,8631
0-5 years,2019-20,Females,8.243,10039
0-5 years,2020-21,Females,8.434,7856
0-5 years,2021-22,Females,9.013,5812
0-5 years,2017-18,Females,1.309,20526
0-5 years,2018-19,Females,1.438,20985
0-5 years,2019-20,Females,1.377,20838
0-5 years,2020-21,Females,1.467,14360
0-5 years,2021-22,Females,1.569,8844
0-5 years,2017-18,Females,1.259,33907
0-5 years,2018-19,Females,1.403,29948
0-5 years,2019-20,Females,1.287,40361
0-5 years,2020-21,Females,1.165,40021
0-5 years,2021-22,Females,1.239,43447
0-5 years,2017-18,Females,3.329,37671
0-5 years,2018-19,Females,3.6,42037
0-5 years,2019-20,Females,3.603,48809
0-5 years,2020-21,Females,3.631,47065
0-5 years,2021-22,Females,3.556,46669
0-5 years,2017-18,Females,1.57,19610
0-5 years,2018-19,Females,1.398,18288
0-5 years,2019-20,Females,1.246,20002
0-5 years,2020-21,Females,1.252,18544
0-5 years,2021-22,Females,1.115,19708
0-5 years,2017-18,Females,9.462,27354
0-5 years,2018-19,Females,10.304,31860
0-5 years,2019-20,Females,9.549,37369
0-5 years,2020-21,Females,9.875,35137
0-5 years,2021-22,Females,9.756,37017
0-5 years,2017-18,Females,12.019,10962
0-5 years,2018-19,Females,12.276,11745
0-5 years,2019-20,Females,10.681,13622
0-5 years,2020-21,Females,10.612,12067
0-5 years,2021-22,Females,10.8,11104
0-5 years,2017-18,Females,1.455,34415
0-5 years,2018-19,Females,1.632,36031
0-5 years,2019-20,Females,1.456,36103
0-5 years,2020-21,Females,1.51,38953
0-5 years,2021-22,Females,1.571,34969
0-5 years,2017-18,Females,6.2,14529
0-5 years,2018-19,Females,6.269,13511
0-5 years,2019-20,Females,6.148,17303
0-5 years,2020-21,Females,5.599,17708
0-5 years,2021-22,Females,5.06,15301
0-5 years,2017-18,Females,16.273,21848
0-5 years,2018-19,Females,16.046,22680
0-5 years,2019-20,Females,14.882,23920
0-5 years,2020-21,Females,16.293,23038
0-5 years,2021-22,Females,15.493,20697
0-5 years,2017-18,Females,1.142,9454
0-5 years,2018-19,Females,1.219,9211
0-5 years,2019-20,Females,1.158,11057
0-5 years,2020-21,Females,1.092,10624
0-5 years,2021-22,Females,1.054,7115
0-5 years,2017-18,Females,3.321,13409
0-5 years,2018-19,Females,3.39,14334
0-5 years,2019-20,Females,3.301,16630
0-5 years,2020-21,Females,3.212,16704
0-5 years,2021-22,Females,2.976,12433
0-5 years,2017-18,Females,87.896,17122
0-5 years,2018-19,Females,87.844,18362
0-5 years,2019-20,Females,81.689,20635
0-5 years,2020-21,Females,81.771,19267
0-5 years,2021-22,Females,79.954,16745
0-5 years,2017-18,Persons,7.085,10382
0-5 years,2018-19,Persons,6.468,13336
0-5 years,2019-20,Persons,6.802,13222
0-5 years,2020-21,Persons,7.455,10399
0-5 years,2021-22,Persons,6.267,11939
0-5 years,2017-18,Persons,3.926,94651
0-5 years,2018-19,Persons,3.482,97403
0-5 years,2019-20,Persons,2.96,101292
0-5 years,2020-21,Persons,2.817,102985
0-5 years,2021-22,Persons,3.208,92097
0-5 years,2017-18,Persons,29.214,35171
0-5 years,2018-19,Persons,28.668,39000
0-5 years,2019-20,Persons,26.053,41340
0-5 years,2020-21,Persons,26.297,37304
0-5 years,2021-22,Persons,25.761,33960
0-5 years,2017-18,Persons,2.51,55016
0-5 years,2018-19,Persons,2.697,56466
0-5 years,2019-20,Persons,2.42,63431
0-5 years,2020-21,Persons,2.494,68021
0-5 years,2021-22,Persons,2.311,63170
0-5 years,2017-18,Persons,30.862,30485
0-5 years,2018-19,Persons,28.426,32538
0-5 years,2019-20,Persons,25.314,33254
0-5 years,2020-21,Persons,25.132,33116
0-5 years,2021-22,Persons,23.828,31509
0-5 years,2017-18,Persons,23.253,36402
0-5 years,2018-19,Persons,21.861,41012
0-5 years,2019-20,Persons,19.619,43906
0-5 years,2020-21,Persons,18.965,41685
0-5 years,2021-22,Persons,17.264,38272
0-5 years,2017-18,Persons,39.693,18903
0-5 years,2018-19,Persons,37.583,20000
0-5 years,2019-20,Persons,34.64,20854
0-5 years,2020-21,Persons,35.425,20063
0-5 years,2021-22,Persons,37.618,16190
0-5 years,2017-18,Persons,48.851,11670
0-5 years,2018-19,Persons,46.13,12891
0-5 years,2019-20,Persons,45.841,13825
0-5 years,2020-21,Persons,48.493,11610
0-5 years,2021-22,Persons,50.923,9234
0-5 years,2017-18,Persons,20.781,14666
0-5 years,2018-19,Persons,21.888,14500
0-5 years,2019-20,Persons,20.57,13881
0-5 years,2020-21,Persons,20.693,13012
0-5 years,2021-22,Persons,21.249,10488
0-5 years,2017-18,Persons,9.772,49001
0-5 years,2018-19,Persons,10.143,47371
0-5 years,2019-20,Persons,9.306,55019
0-5 years,2020-21,Persons,8.845,51266
0-5 years,2021-22,Persons,9.804,58752
0-5 years,2017-18,Persons,20.824,49233
0-5 years,2018-19,Persons,21.747,52122
0-5 years,2019-20,Persons,20.972,59710
0-5 years,2020-21,Persons,21.175,58349
0-5 years,2021-22,Persons,21.017,55944
0-5 years,2017-18,Persons,9.618,23288
0-5 years,2018-19,Persons,8.795,23651
0-5 years,2019-20,Persons,7.667,26299
0-5 years,2020-21,Persons,7.531,24004
0-5 years,2021-22,Persons,7.131,23164
0-5 years,2017-18,Persons,73.715,44580
